,alpha,sigma,only_negative_disturbances,add_short_timescale,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
66,2.0,1e-06,True,True,ac1,1.0,1.0,1.0,1.0,1.0
67,2.0,1e-06,True,True,ac1_thresh,0.99,1.0,1.0,1.0,1.0
68,2.0,1e-06,True,True,iqr,1.0,1.0,0.72,1.0,1.0
69,2.0,1e-06,True,True,iqr_thresh,0.94,1.0,0.75,1.0,1.0
70,2.0,1e-06,True,True,std_dev,1.0,1.0,0.91,1.0,1.0
71,2.0,1e-06,True,True,std_dev_thresh,1.0,1.0,1.0,1.0,1.0
72,2.0,0.0001,False,False,ac1,0.11,0.15,0.05,0.15,1.0
73,2.0,0.0001,False,False,ac1_thresh,0.02,0.06,0.0,0.06,1.0
74,2.0,0.0001,False,False,iqr,0.11,0.11,0.04,0.11,1.0
75,2.0,0.0001,False,False,iqr_thresh,0.12,0.09,0.03,0.09,1.0
76,2.0,0.0001,False,False,std_dev,0.12,0.12,0.04,0.12,1.0
77,2.0,0.0001,False,False,std_dev_thresh,0.04,0.03,0.02,0.03,1.0
78,2.0,0.0001,False,True,ac1,1.0,1.0,1.0,1.0,1.0
79,2.0,0.0001,False,True,ac1_thresh,1.0,1.0,1.0,1.0,1.0
80,2.0,0.0001,False,True,iqr,1.0,1.0,0.72,1.0,1.0
81,2.0,0.0001,False,True,iqr_thresh,0.92,1.0,0.76,1.0,1.0
82,2.0,0.0001,False,True,std_dev,1.0,1.0,0.91,1.0,1.0
83,2.0,0.0001,False,True,std_dev_thresh,1.0,1.0,1.0,1.0,1.0
84,2.0,0.0001,True,False,ac1,0.12,0.15,0.05,0.15,1.0
85,2.0,0.0001,True,False,ac1_thresh,0.02,0.06,0.01,0.06,1.0
86,2.0,0.0001,True,False,iqr,0.11,0.11,0.03,0.11,1.0
87,2.0,0.0001,True,False,iqr_thresh,0.15,0.11,0.04,0.11,1.0
88,2.0,0.0001,True,False,std_dev,0.11,0.11,0.05,0.11,1.0
89,2.0,0.0001,True,False,std_dev_thresh,0.04,0.05,0.03,0.05,1.0
90,2.0,0.0001,True,True,ac1,1.0,1.0,1.0,1.0,1.0
91,2.0,0.0001,True,True,ac1_thresh,1.0,1.0,1.0,1.0,1.0
92,2.0,0.0001,True,True,iqr,1.0,1.0,0.72,1.0,1.0
93,2.0,0.0001,True,True,iqr_thresh,0.95,1.0,0.71,1.0,1.0
94,2.0,0.0001,True,True,std_dev,1.0,1.0,0.91,1.0,1.0
95,2.0,0.0001,True,True,std_dev_thresh,1.0,1.0,1.0,1.0,1.0
96,2.0,0.001,False,False,ac1,0.09,0.19,0.02,0.19,1.0
97,2.0,0.001,False,False,ac1_thresh,0.02,0.12,0.0,0.12,1.0
98,2.0,0.001,False,False,iqr,0.16,0.13,0.03,0.13,1.0
99,2.0,0.001,False,False,iqr_thresh,0.1,0.08,0.01,0.08,1.0
100,2.0,0.001,False,False,std_dev,0.17,0.13,0.04,0.13,1.0
101,2.0,0.001,False,False,std_dev_thresh,0.08,0.05,0.02,0.05,1.0
102,2.0,0.001,False,True,ac1,1.0,1.0,1.0,1.0,1.0
103,2.0,0.001,False,True,ac1_thresh,0.99,1.0,1.0,1.0,1.0
