,alpha,sigma,only_negative_disturbances,add_short_timescale,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
35,2.0,1e-08,False,True,std_dev_thresh,0.09473684210526316,0.08736842105263158,0.08736842105263158,0.0,1.0
36,2.0,1e-08,True,False,ac1,0.10473684210526316,0.10631578947368421,0.05105263157894737,0.10631578947368421,1.0
37,2.0,1e-08,True,False,ac1_thresh,0.10789473684210527,0.11368421052631579,0.05210526315789474,0.11368421052631579,1.0
38,2.0,1e-08,True,False,iqr,0.07736842105263157,0.08526315789473685,0.041578947368421056,0.08526315789473685,1.0
39,2.0,1e-08,True,False,iqr_thresh,0.08105263157894736,0.09105263157894737,0.04736842105263158,0.09105263157894737,1.0
40,2.0,1e-08,True,False,std_dev,0.09157894736842105,0.09368421052631579,0.06894736842105263,0.09368421052631579,1.0
41,2.0,1e-08,True,False,std_dev_thresh,0.09368421052631579,0.09,0.06947368421052631,0.09,1.0
42,2.0,1e-08,True,True,ac1,0.0968421052631579,0.09052631578947369,0.09,0.0,1.0
43,2.0,1e-08,True,True,ac1_thresh,0.0968421052631579,0.09052631578947369,0.09,0.0,1.0
44,2.0,1e-08,True,True,iqr,0.09,0.08315789473684211,0.08210526315789474,0.0,1.0
45,2.0,1e-08,True,True,iqr_thresh,0.09,0.08315789473684211,0.08210526315789474,0.0,1.0
46,2.0,1e-08,True,True,std_dev,0.09473684210526316,0.08736842105263158,0.08736842105263158,0.0,1.0
47,2.0,1e-08,True,True,std_dev_thresh,0.09473684210526316,0.08736842105263158,0.08736842105263158,0.0,1.0
48,2.0,1e-06,False,False,ac1,0.10526315789473684,0.10631578947368421,0.05157894736842105,0.10631578947368421,1.0
49,2.0,1e-06,False,False,ac1_thresh,0.10894736842105263,0.11368421052631579,0.05105263157894737,0.11368421052631579,1.0
50,2.0,1e-06,False,False,iqr,0.07736842105263157,0.08473684210526315,0.04263157894736842,0.08473684210526315,1.0
51,2.0,1e-06,False,False,iqr_thresh,0.08105263157894736,0.09105263157894737,0.04736842105263158,0.09105263157894737,1.0
52,2.0,1e-06,False,False,std_dev,0.09210526315789473,0.09421052631578947,0.06947368421052631,0.09421052631578947,1.0
53,2.0,1e-06,False,False,std_dev_thresh,0.0931578947368421,0.09,0.06947368421052631,0.09,1.0
54,2.0,1e-06,False,True,ac1,0.0968421052631579,0.09052631578947369,0.09,0.0,1.0
55,2.0,1e-06,False,True,ac1_thresh,0.0968421052631579,0.09052631578947369,0.09,0.0,1.0
56,2.0,1e-06,False,True,iqr,0.08947368421052632,0.08421052631578947,0.08210526315789474,0.0,1.0
57,2.0,1e-06,False,True,iqr_thresh,0.08947368421052632,0.08421052631578947,0.08210526315789474,0.0,1.0
58,2.0,1e-06,False,True,std_dev,0.09473684210526316,0.08736842105263158,0.08736842105263158,0.0,1.0
59,2.0,1e-06,False,True,std_dev_thresh,0.09473684210526316,0.08736842105263158,0.08736842105263158,0.0,1.0
60,2.0,1e-06,True,False,ac1,0.10526315789473684,0.10631578947368421,0.05052631578947368,0.10631578947368421,1.0
61,2.0,1e-06,True,False,ac1_thresh,0.10947368421052632,0.11368421052631579,0.05210526315789474,0.11368421052631579,1.0
62,2.0,1e-06,True,False,iqr,0.07736842105263157,0.08526315789473685,0.042105263157894736,0.08526315789473685,1.0
63,2.0,1e-06,True,False,iqr_thresh,0.08105263157894736,0.09105263157894737,0.04789473684210526,0.09105263157894737,1.0
64,2.0,1e-06,True,False,std_dev,0.09157894736842105,0.09421052631578947,0.07,0.09421052631578947,1.0
65,2.0,1e-06,True,False,std_dev_thresh,0.0931578947368421,0.09,0.06947368421052631,0.09,1.0
66,2.0,1e-06,True,True,ac1,0.0968421052631579,0.09052631578947369,0.09,0.0,1.0
67,2.0,1e-06,True,True,ac1_thresh,0.0968421052631579,0.09052631578947369,0.09,0.0,1.0
68,2.0,1e-06,True,True,iqr,0.09,0.08421052631578947,0.08210526315789474,0.0,1.0
69,2.0,1e-06,True,True,iqr_thresh,0.09,0.08421052631578947,0.08210526315789474,0.0,1.0
70,2.0,1e-06,True,True,std_dev,0.09473684210526316,0.08736842105263158,0.08736842105263158,0.0,1.0
71,2.0,1e-06,True,True,std_dev_thresh,0.09473684210526316,0.08736842105263158,0.08736842105263158,0.0,1.0
72,2.0,0.0001,False,False,ac1,0.10473684210526316,0.10052631578947369,0.05368421052631579,0.10052631578947369,1.0
73,2.0,0.0001,False,False,ac1_thresh,0.09894736842105263,0.09894736842105263,0.04789473684210526,0.09894736842105263,1.0
74,2.0,0.0001,False,False,iqr,0.07578947368421053,0.0863157894736842,0.04052631578947368,0.0863157894736842,1.0
75,2.0,0.0001,False,False,iqr_thresh,0.07842105263157895,0.08210526315789474,0.041578947368421056,0.08210526315789474,1.0
76,2.0,0.0001,False,False,std_dev,0.0968421052631579,0.09,0.07157894736842105,0.09,1.0
77,2.0,0.0001,False,False,std_dev_thresh,0.0931578947368421,0.0863157894736842,0.06578947368421052,0.0863157894736842,1.0
78,2.0,0.0001,False,True,ac1,0.09631578947368422,0.08894736842105264,0.09052631578947369,0.0,1.0
79,2.0,0.0001,False,True,ac1_thresh,0.09631578947368422,0.08894736842105264,0.09052631578947369,0.0,1.0
80,2.0,0.0001,False,True,iqr,0.09263157894736843,0.08578947368421053,0.08473684210526315,0.0,1.0
81,2.0,0.0001,False,True,iqr_thresh,0.09263157894736843,0.08578947368421053,0.08473684210526315,0.0,1.0
82,2.0,0.0001,False,True,std_dev,0.09526315789473684,0.08526315789473685,0.0868421052631579,0.0,1.0
83,2.0,0.0001,False,True,std_dev_thresh,0.09526315789473684,0.08526315789473685,0.0868421052631579,0.0,1.0
84,2.0,0.0001,True,False,ac1,0.10105263157894737,0.10526315789473684,0.05052631578947368,0.10526315789473684,1.0
85,2.0,0.0001,True,False,ac1_thresh,0.10526315789473684,0.10789473684210527,0.04631578947368421,0.10789473684210527,1.0
86,2.0,0.0001,True,False,iqr,0.07736842105263157,0.08736842105263158,0.04263157894736842,0.08736842105263158,1.0
87,2.0,0.0001,True,False,iqr_thresh,0.08157894736842106,0.09157894736842105,0.045263157894736845,0.09157894736842105,1.0
88,2.0,0.0001,True,False,std_dev,0.09473684210526316,0.09368421052631579,0.07105263157894737,0.09368421052631579,1.0
