,alpha,sigma,only_negative_disturbances,add_short_timescale,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
0,0.5,1e-10,False,False,ac1,0.07368421052631578,0.1,0.031578947368421054,0.1,1.0
1,0.5,1e-10,False,False,ac1_thresh,0.07368421052631578,0.08947368421052632,0.021052631578947368,0.08947368421052632,1.0
2,0.5,1e-10,False,False,iqr,0.07894736842105263,0.08947368421052632,0.06315789473684211,0.08947368421052632,1.0
3,0.5,1e-10,False,False,iqr_thresh,0.07368421052631578,0.09473684210526316,0.06315789473684211,0.09473684210526316,1.0
4,0.5,1e-10,False,False,std_dev,0.10526315789473684,0.12105263157894737,0.08421052631578947,0.12105263157894737,1.0
5,0.5,1e-10,False,False,std_dev_thresh,0.08421052631578947,0.11052631578947368,0.06315789473684211,0.11052631578947368,1.0
6,0.5,1e-10,False,True,ac1,0.12105263157894737,0.10526315789473684,0.08947368421052632,0.0,1.0
7,0.5,1e-10,False,True,ac1_thresh,0.12105263157894737,0.10526315789473684,0.08947368421052632,0.0,1.0
8,0.5,1e-10,False,True,iqr,0.09473684210526316,0.1,0.08947368421052632,0.0,1.0
9,0.5,1e-10,False,True,iqr_thresh,0.09473684210526316,0.1,0.08947368421052632,0.0,1.0
10,0.5,1e-10,False,True,std_dev,0.12631578947368421,0.12105263157894737,0.12631578947368421,0.0,1.0
11,0.5,1e-10,False,True,std_dev_thresh,0.12631578947368421,0.12105263157894737,0.12631578947368421,0.0,1.0
12,0.5,1e-10,True,False,ac1,0.07368421052631578,0.1,0.031578947368421054,0.1,1.0
13,0.5,1e-10,True,False,ac1_thresh,0.06842105263157895,0.08947368421052632,0.02631578947368421,0.08947368421052632,1.0
14,0.5,1e-10,True,False,iqr,0.07894736842105263,0.08947368421052632,0.06315789473684211,0.08947368421052632,1.0
15,0.5,1e-10,True,False,iqr_thresh,0.07368421052631578,0.09473684210526316,0.06315789473684211,0.09473684210526316,1.0
16,0.5,1e-10,True,False,std_dev,0.10526315789473684,0.12105263157894737,0.08421052631578947,0.12105263157894737,1.0
17,0.5,1e-10,True,False,std_dev_thresh,0.08421052631578947,0.10526315789473684,0.06315789473684211,0.10526315789473684,1.0
18,0.5,1e-10,True,True,ac1,0.12105263157894737,0.10526315789473684,0.08947368421052632,0.0,1.0
19,0.5,1e-10,True,True,ac1_thresh,0.12105263157894737,0.10526315789473684,0.08947368421052632,0.0,1.0
20,0.5,1e-10,True,True,iqr,0.09473684210526316,0.1,0.08947368421052632,0.0,1.0
21,0.5,1e-10,True,True,iqr_thresh,0.09473684210526316,0.1,0.08947368421052632,0.0,1.0
22,0.5,1e-10,True,True,std_dev,0.12631578947368421,0.12105263157894737,0.12631578947368421,0.0,1.0
23,0.5,1e-10,True,True,std_dev_thresh,0.12631578947368421,0.12105263157894737,0.12631578947368421,0.0,1.0
24,0.5,1e-08,False,False,ac1,0.07368421052631578,0.11052631578947368,0.031578947368421054,0.11052631578947368,1.0
25,0.5,1e-08,False,False,ac1_thresh,0.07368421052631578,0.1,0.021052631578947368,0.1,1.0
26,0.5,1e-08,False,False,iqr,0.07894736842105263,0.08947368421052632,0.05789473684210526,0.08947368421052632,1.0
27,0.5,1e-08,False,False,iqr_thresh,0.07368421052631578,0.09473684210526316,0.06315789473684211,0.09473684210526316,1.0
28,0.5,1e-08,False,False,std_dev,0.10526315789473684,0.12105263157894737,0.08421052631578947,0.12105263157894737,1.0
29,0.5,1e-08,False,False,std_dev_thresh,0.08421052631578947,0.10526315789473684,0.07368421052631578,0.10526315789473684,1.0
30,0.5,1e-08,False,True,ac1,0.11578947368421053,0.10526315789473684,0.08947368421052632,0.0,1.0
31,0.5,1e-08,False,True,ac1_thresh,0.12105263157894737,0.10526315789473684,0.08947368421052632,0.0,1.0
32,0.5,1e-08,False,True,iqr,0.09473684210526316,0.1,0.08947368421052632,0.0,1.0
33,0.5,1e-08,False,True,iqr_thresh,0.09473684210526316,0.1,0.08947368421052632,0.0,1.0
34,0.5,1e-08,False,True,std_dev,0.12631578947368421,0.12105263157894737,0.12631578947368421,0.0,1.0
