,alpha,sigma,only_negative_disturbances,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
0,0.5,1e-10,False,ac1,0.11368421052631579,0.10631578947368421,0.1,0.09842105263157895,1.0
1,0.5,1e-10,False,iqr,0.09631578947368422,0.0968421052631579,0.0931578947368421,0.09,1.0
2,0.5,1e-10,False,std_dev,0.09736842105263158,0.08894736842105264,0.09052631578947369,0.08105263157894736,1.0
3,0.5,1e-10,True,ac1,0.11368421052631579,0.10684210526315789,0.10052631578947369,0.09894736842105263,1.0
4,0.5,1e-10,True,iqr,0.09578947368421052,0.09578947368421052,0.09263157894736843,0.08894736842105264,1.0
5,0.5,1e-10,True,std_dev,0.09631578947368422,0.08789473684210526,0.09052631578947369,0.08,1.0
6,0.5,1e-08,False,ac1,0.11473684210526315,0.10684210526315789,0.10052631578947369,0.09789473684210526,1.0
7,0.5,1e-08,False,iqr,0.09631578947368422,0.09631578947368422,0.0931578947368421,0.08894736842105264,1.0
8,0.5,1e-08,False,std_dev,0.09894736842105263,0.08789473684210526,0.08736842105263158,0.07947368421052632,1.0
9,0.5,1e-08,True,ac1,0.11224489795918367,0.10580021482277122,0.09935553168635876,0.09720730397422127,0.98
10,0.5,1e-08,True,iqr,0.09559613319011816,0.09720730397422127,0.09344790547798067,0.09129967776584318,0.98
11,0.5,1e-08,True,std_dev,0.0966702470461869,0.08754027926960257,0.08807733619763695,0.08002148227712137,0.98
12,0.5,1e-06,False,ac1,0.11505507955936352,0.10893512851897184,0.1003671970624235,0.10342717258261934,0.86
13,0.5,1e-06,False,iqr,0.09791921664626684,0.09791921664626684,0.08996328029375765,0.09057527539779682,0.86
14,0.5,1e-06,False,std_dev,0.10893512851897184,0.0850673194614443,0.0740514075887393,0.07527539779681762,0.86
15,0.5,1e-06,True,ac1,0.10855263157894737,0.11052631578947368,0.09605263157894736,0.10394736842105264,0.8
16,0.5,1e-06,True,iqr,0.09539473684210527,0.09078947368421053,0.09342105263157895,0.0868421052631579,0.8
17,0.5,1e-06,True,std_dev,0.11842105263157894,0.08421052631578947,0.07171052631578947,0.07697368421052632,0.8
18,0.5,0.0001,False,ac1,0.1,0.11842105263157894,0.06184210526315789,0.1118421052631579,0.4
19,0.5,0.0001,False,iqr,0.11578947368421053,0.11052631578947368,0.1013157894736842,0.10394736842105264,0.4
