,alpha,sigma,only_negative_disturbances,add_short_timescale,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
53,0.5,1e-06,False,False,std_dev_thresh,0.08235294117647059,0.07058823529411765,0.047058823529411764,0.07058823529411765,0.85
54,0.5,1e-06,False,True,ac1,0.9411764705882353,0.9529411764705882,0.9647058823529412,0.9529411764705882,0.85
55,0.5,1e-06,False,True,ac1_thresh,0.9647058823529412,0.9647058823529412,0.9647058823529412,0.9647058823529412,0.85
56,0.5,1e-06,False,True,iqr,0.788235294117647,1.0,0.4235294117647059,0.9647058823529412,0.85
57,0.5,1e-06,False,True,iqr_thresh,0.7647058823529411,1.0,0.5647058823529412,0.9647058823529412,0.85
58,0.5,1e-06,False,True,std_dev,0.6823529411764706,1.0,0.5294117647058824,0.9647058823529412,0.85
59,0.5,1e-06,False,True,std_dev_thresh,0.9764705882352941,1.0,0.9764705882352941,0.9647058823529412,0.85
60,0.5,1e-06,True,False,ac1,0.0759493670886076,0.12658227848101267,0.05063291139240506,0.12658227848101267,0.79
61,0.5,1e-06,True,False,ac1_thresh,0.06329113924050633,0.11392405063291139,0.0379746835443038,0.11392405063291139,0.79
62,0.5,1e-06,True,False,iqr,0.12658227848101267,0.12658227848101267,0.012658227848101266,0.12658227848101267,0.79
63,0.5,1e-06,True,False,iqr_thresh,0.13924050632911392,0.11392405063291139,0.012658227848101266,0.11392405063291139,0.79
64,0.5,1e-06,True,False,std_dev,0.12658227848101267,0.11392405063291139,0.0379746835443038,0.11392405063291139,0.79
65,0.5,1e-06,True,False,std_dev_thresh,0.12658227848101267,0.12658227848101267,0.05063291139240506,0.12658227848101267,0.79
66,0.5,1e-06,True,True,ac1,0.9367088607594937,0.9367088607594937,0.9367088607594937,0.9240506329113924,0.79
67,0.5,1e-06,True,True,ac1_thresh,0.9240506329113924,0.9367088607594937,0.9240506329113924,0.9240506329113924,0.79
68,0.5,1e-06,True,True,iqr,0.8354430379746836,1.0,0.43037974683544306,0.9367088607594937,0.79
69,0.5,1e-06,True,True,iqr_thresh,0.810126582278481,0.9873417721518988,0.4810126582278481,0.9367088607594937,0.79
70,0.5,1e-06,True,True,std_dev,0.7848101265822784,1.0,0.569620253164557,0.9367088607594937,0.79
71,0.5,1e-06,True,True,std_dev_thresh,0.9620253164556962,0.9873417721518988,0.9367088607594937,0.9367088607594937,0.79
72,0.5,0.0001,False,False,ac1,0.02857142857142857,0.2571428571428571,0.0,0.2571428571428571,0.35
73,0.5,0.0001,False,False,ac1_thresh,0.02857142857142857,0.2,0.0,0.2,0.35
74,0.5,0.0001,False,False,iqr,0.05714285714285714,0.11428571428571428,0.0,0.11428571428571428,0.35
75,0.5,0.0001,False,False,iqr_thresh,0.02857142857142857,0.2,0.0,0.2,0.35
76,0.5,0.0001,False,False,std_dev,0.05714285714285714,0.08571428571428572,0.0,0.08571428571428572,0.35
77,0.5,0.0001,False,False,std_dev_thresh,0.05714285714285714,0.05714285714285714,0.0,0.05714285714285714,0.35
78,0.5,0.0001,False,True,ac1,0.6764705882352942,0.7941176470588235,0.7941176470588235,0.7647058823529411,0.34
79,0.5,0.0001,False,True,ac1_thresh,0.7647058823529411,0.7941176470588235,0.8529411764705882,0.7647058823529411,0.34
