,alpha,sigma,only_negative_disturbances,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
62,0.75,0.01,False,std_dev,0.07692307692307693,0.23076923076923078,0.0,0.23076923076923078,0.26
63,0.75,0.01,True,ac1,0.4,0.8,0.6,0.8,0.1
64,0.75,0.01,True,iqr,0.4,0.5,0.0,0.5,0.1
65,0.75,0.01,True,std_dev,0.0,0.1,0.0,0.1,0.1
66,0.75,0.02,False,ac1,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.12
67,0.75,0.02,False,iqr,0.5,0.5833333333333334,0.08333333333333333,0.5833333333333334,0.12
68,0.75,0.02,False,std_dev,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.12
69,0.75,0.02,True,ac1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.03
70,0.75,0.02,True,iqr,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.03
71,0.75,0.02,True,std_dev,0.0,0.0,0.0,0.0,0.03
72,0.75,0.05,False,ac1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.03
73,0.75,0.05,False,iqr,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.03
74,0.75,0.05,False,std_dev,0.0,0.0,0.0,0.0,0.03
75,0.75,0.1,False,ac1,0.0,0.0,0.0,0.0,0.01
76,0.75,0.1,False,iqr,0.0,0.0,0.0,0.0,0.01
77,0.75,0.1,False,std_dev,0.0,0.0,0.0,0.0,0.01
78,1.0,1e-10,False,ac1,1.0,1.0,1.0,1.0,1.0
79,1.0,1e-10,False,iqr,1.0,1.0,0.86,1.0,1.0
80,1.0,1e-10,False,std_dev,1.0,1.0,0.91,1.0,1.0
81,1.0,1e-10,True,ac1,1.0,1.0,1.0,1.0,1.0
82,1.0,1e-10,True,iqr,1.0,1.0,0.86,1.0,1.0
83,1.0,1e-10,True,std_dev,1.0,1.0,0.91,1.0,1.0
84,1.0,1e-08,False,ac1,1.0,1.0,1.0,1.0,1.0
